intensidad_media,mediana,desviacion_std,varianza,asimetria,curtosis,p10,p90,rango,homogeneidad,energia,contraste,correlacion,entropia,lbp_entropia,lbp_energia,area,circularidad,compacidad,solidez,excentricidad,extension,Clase
0.2780653,0.2470588,0.1567301,0.02456432,1.063145,4.301918,0.1058824,0.4901961,0.3843137,0.9525157,0.2542644,0.2084082,0.9584248,7.176087,2.560064,0.2087076,33623,0.8510593,1.175006,0.9565032,0.6583574,0.7487085,3
0.3472915,0.3293173,0.1012704,0.0102557,0.7657134,3.688655,0.2289157,0.4859438,0.2570281,0.9321557,0.3300792,0.3182983,0.9269645,6.558982,2.881706,0.1602974,4321,0.7077528,1.412923,0.8883635,0.846996,0.681116,2
0.1757683,0.1532258,0.1096212,0.0120168,2.88417,16.03887,0.08064516,0.2822581,0.2016129,0.9584783,0.4546164,0.3258585,0.9363452,6.317752,2.683467,0.1840969,11188,0.9049163,1.105075,0.9790846,0.7083359,0.7968661,1
0.4609303,0.4627451,0.1817595,0.0330365,0.1157114,2.63344,0.2078431,0.7019608,0.4941176,0.954468,0.2234763,0.1828198,0.9456652,7.535552,2.652518,0.1958888,38534,0.969199,1.03178,0.9892688,0.4773896,0.7831636,2
0.1196577,0.108,0.07272084,0.005288321,8.460023,87.0741,0.08,0.156,0.076,0.9792421,0.4788384,0.371939,0.9525995,4.916749,2.915891,0.1544114,6765,0.7230411,1.383047,0.9726815,0.9230427,0.567248,1
0.287862,0.2509804,0.1578149,0.02490554,0.9774123,3.688222,0.1254902,0.5019608,0.3764706,0.9624425,0.2668307,0.2160789,0.962642,7.05408,2.797047,0.1726228,19995,0.8707527,1.148432,0.9604669,0.7589738,0.6529193,1
0.2939166,0.2784314,0.09389463,0.008816201,0.9935528,4.787553,0.1882353,0.4235294,0.2352941,0.9668471,0.3069735,0.1196328,0.9754461,6.485364,2.789703,0.172354,102377,0.8630905,1.158627,0.966751,0.6948699,0.7143345,2
0.4918951,0.4941176,0.1535725,0.02358453,0.1499651,2.654747,0.2901961,0.6901961,0.4,0.9599553,0.2559845,0.122625,0.9582659,7.302483,2.724007,0.1847251,98768,0.9326919,1.072165,0.9855217,0.65861,0.7631233,2
0.1644441,0.1417004,0.1037613,0.0107664,4.55657,30.68042,0.09554656,0.2591093,0.1635628,0.9457741,0.493794,0.7232392,0.8645624,5.709314,2.942886,0.1506826,1873,0.9930892,1.006959,0.9826863,0.6384549,0.7492,2
0.2398929,0.1607843,0.1916379,0.03672508,1.796444,5.982107,0.09411765,0.5058824,0.4117647,0.97396,0.330992,0.1091591,0.9838438,6.866688,2.63097,0.1958548,16578,0.7972371,1.254332,0.9497565,0.8655515,0.6023983,1
